fips,hsa,hsa_name
13159,220,"Newton (Covington), GA - Jasper, GA"
13161,236,"Coffee, GA - Jeff Davis, GA"
13163,250,"Washington, GA - Jefferson, GA"
13165,152,"Richmond (South Augusta), GA - Aiken, SC"
13167,206,"Laurens, GA - Toombs, GA"
13169,193,"Bibb (Macon), GA - Houston, GA"
13171,269,"Upson, GA - Lamar, GA"
13173,180,"Lowndes, GA - Brooks, GA"
13175,206,"Laurens, GA - Toombs, GA"
13177,144,"Dougherty (Albany), GA - Lee, GA"
13179,143,"Chatham (Savannah), GA - Beaufort, SC"
13181,152,"Richmond (South Augusta), GA - Aiken, SC"
13183,143,"Chatham (Savannah), GA - Beaufort, SC"
13185,180,"Lowndes, GA - Brooks, GA"
13187,157,"Hall, GA - Habersham, GA"
13189,152,"Richmond (South Augusta), GA - Aiken, SC"
13191,158,"Duval (Jacksonville), FL - Clay, FL"
13193,197,"Sumter, GA - Crisp, GA"
13195,164,"Clarke (Athens), GA - Barrow, GA"
13197,166,"Muscogee (Columbus), GA - Russell, AL"
13199,172,"Coweta, GA - Troup (La Grange), GA"
13201,228,"Decatur, GA - Seminole, GA"
13205,178,"Thomas, GA - Mitchell, GA"
13207,193,"Bibb (Macon), GA - Houston, GA"
13209,206,"Laurens, GA - Toombs, GA"
13211,164,"Clarke (Athens), GA - Barrow, GA"
13213,145,"Whitfield, GA - Murray, GA"
13215,166,"Muscogee (Columbus), GA - Russell, AL"
13217,220,"Newton (Covington), GA - Jasper, GA"
13219,164,"Clarke (Athens), GA - Barrow, GA"
13221,164,"Clarke (Athens), GA - Barrow, GA"
13223,190,"Cobb (Marietta), GA - Cherokee, GA"
13225,193,"Bibb (Macon), GA - Houston, GA"
13227,190,"Cobb (Marietta), GA - Cherokee, GA"
13229,174,"Ware, GA - Pierce, GA"
13231,269,"Upson, GA - Lamar, GA"
13233,154,"Floyd, GA - Bartow, GA"
13235,193,"Bibb (Macon), GA - Houston, GA"
13237,201,"Baldwin, GA - Putnam, GA"
13239,162,"Houston (Dothan), AL - Dale, AL"
13241,268,"Rabun, GA"
13243,144,"Dougherty (Albany), GA - Lee, GA"
13245,152,"Richmond (South Augusta), GA - Aiken, SC"
13247,153,"Fulton (Atlanta), GA - DeKalb, GA"
13249,166,"Muscogee (Columbus), GA - Russell, AL"
13251,222,"Bulloch, GA - Emanuel, GA"
13253,228,"Decatur, GA - Seminole, GA"
